question_id,question_text,file_name,vote_id,vote_summary,similarity_score
QB7_2,"QB7.2. The European Year of Skills is taking place between May 2023 and May 2024. It aims to raise awareness about the need for people to get the right skills for quality jobs and thereby also aims to support companies in addressing skill shortages in Europe. For each of the following statements, tell me if it applies to you? :-You are currently engaging in training to improve your skills",Lien_vers_SP546_volume_B.xlsx,153918,"The European Parliament adopted by 524 votes to 33, with 24 abstentions, a legislative resolution on the proposal for a decision of the European Parliament and of the Council on a European Year of Skills 2023.
The European Parliament's position adopted at first reading under the ordinary legislative procedure amends the Commission's proposal as follows:
As proposed by Members, the period from 9 May 2023 to 8 May 2024 will be declared the ‘European Year of Skills’ .
The overall objective of the E",0.789826512336731
QB7_1,"QB7.1. The European Year of Skills is taking place between May 2023 and May 2024. It aims to raise awareness about the need for people to get the right skills for quality jobs and thereby also aims to support companies in addressing skill shortages in Europe. For each of the following statements, tell me if it applies to you? :-You are currently actively looking for information concerning training to improve your skills?",Lien_vers_SP546_volume_B.xlsx,153918,"The European Parliament adopted by 524 votes to 33, with 24 abstentions, a legislative resolution on the proposal for a decision of the European Parliament and of the Council on a European Year of Skills 2023.
The European Parliament's position adopted at first reading under the ordinary legislative procedure amends the Commission's proposal as follows:
As proposed by Members, the period from 9 May 2023 to 8 May 2024 will be declared the ‘European Year of Skills’ .
The overall objective of the E",0.777720034122467
Q7_1,"Q7_1 For each of the following initiatives, please tell me how effective or not you think they will be in helping to tackle the challenges facing the EU. The EU’s plan aiming to tackle climate change and transform the EU into a competitive, green, climate neutral economy by 2050., i.e. the European Green Deal",Lien_vers_fl_539_volume_B.xlsx,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",0.7463128566741943
Q1_1,"Q1_1 Imagine a major crisis affecting [YOUR COUNTRY] and surrounding countries. How effective or not do you think the EU’s response would be in each of the following situations? Managing health emergencies (e.g. COVID-19 pandemic, epidemics)",Lien_vers_fl_546_volume_B.xlsx,157227,"Evaluation of the effectiveness of EU and national measures
Recommendations to improve EU crisis management and preparedness for future health emergencies
Increase parliamentary oversight of measures, coordination, solidarity",0.7445025444030762
Q3_6,"Q3_6 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…affect my prospects and future possibilities",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantl",0.7422317266464233
Q4_4,"Q4_4 In fact, all citizens of the EU Member States are “citizens of the European Union” since 1993. Do you know if, as an EU citizen, you have the following rights? The right to participate in a Citizen’s Initiative, a request signed by at least one million EU citizens inviting the European Commission to propose a new policy measure | Base: All",Lien_vers_fl_528_volume_B.xlsx,163001,"The European Parliament adopted by 437 votes to 158, with 41 abstentions, a resolution on the implementation of Treaty provisions on EU citizenship.
Members believe that EU citizenship comprises the shared and common European democratic identity and the specific rights, civic duties and freedoms attached to it, and that the exercise of those rights, both online and offline, strengthens citizens' link with the EU and its democratic legitimacy, as well as offering them additional rights.
The poten",0.7417352199554443
Q4_4,"Q4_4 In fact, all citizens of the EU Member States are “citizens of the European Union” since 1993. Do you know if, as an EU citizen, you have the following rights? The right to participate in a Citizen’s Initiative, a request signed by at least one million EU citizens inviting the European Commission to propose a new policy measure | Base: All",Lien_vers_fl_528_volume_B.xlsx,140892,"The European Parliament adopted by 357 votes to 119, with 207 abstentions, a resolution on the EU citizenship report 2020: empowering citizens and protecting their rights.
While welcoming the Commission's continued commitment to respecting the rights of EU citizens and its renewed focus on respect for the rule of law in the Member States, Members stressed the need for a comprehensive assessment of EU citizens' rights and for well-defined and concrete commitments, actions and legislative initiati",0.7394352555274963
Q3_4,"Q3_4 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…undermine the long-term sustainability of public finances in the EU",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantl",0.7355191707611084
Q3_5,"Q3_5 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…intensify differences between and within EU Member States",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantl",0.7349498271942139
Q10_3,Q10_3 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? Entities representing foreign governments on EU territory should be registered to prevent covert interference in our democratic systems | Base: All,Lien_vers_fl_528_volume_B.xlsx,171271,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule o",0.7323765158653259
